code_name	patch	test_suite	test_case	defect
huffman	huffman.c._MIA_0.patch.c	test_suite1	input01.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite1	input02.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite1	input03.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite1	input04.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite1	input05.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite1	input06.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite1	input07.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite1	input08.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite1	input09.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite1	input10.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input01.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input02.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input03.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input04.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input05.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input06.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input07.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input08.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input09.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input10.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input11.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input12.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input13.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input14.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input15.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input16.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input17.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input18.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input19.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite2	input20.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite3	input01.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite3	input02.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite3	input03.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite3	input04.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite3	input05.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite3	input06.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite3	input07.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite3	input08.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite3	input09.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite3	input10.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite3	input11.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite3	input12.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite3	input13.png	0
huffman	huffman.c._MIA_0.patch.c	test_suite3	input14.png	0
